To-Be Workshop - Demand - MRO EPC planning - Session 1 
mar, 15 de oct de 2024

0:01 - Unidentified Speaker So I can sit on my run. You.
20:04 - Nishant Keloth (Borouge) It's party PC. Agreed and we wait for the project to get over or because see for example in Bruges right now the creation of material is a continuous process which is for the current project which is happening until next year December. So how how would this fit in? With respect to IBP?

20:27 - Conference Room (MM- SKEC2 - L08) - Speaker 4 I think what will trigger the material creation will be that first the materials are created in S4HANA, okay?

20:35 - Unidentified Speaker Okay.

20:35 - Conference Room (MM- SKEC2 - L08) - Speaker 4 So this project, as you mentioned, is starting next year. When are the materials are going to be created in S4HANA?

20:44 - Nishant Keloth (Borouge) Every day.

20:45 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Every day. From this project going on? Yeah. More materials being added.

20:50 - Nishant Keloth (Borouge) So how it's a continuous process or yeah from January every day I think we have SPIRs which are getting released from AIN every day We have replication and creation of material and then PO is being placed by the EPC I mean by the project team accordingly. So there's a continuous problem. This will happen until next year December. So IBP would how would IBP be utilized in this situation?

21:15 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Actually Nishant what you are explaining end of the process actually so in the very beginning of the process now we have planned where the EPC is executing in for example in 2026, 27 28 so that's going to begin so this plan we have to put in IBP and so the for example which is the what are the information tool required and this plan can be captured then finally once it's awarded to the EPC contractor then once AI and everything in place maybe as Rishan said that the will come in place in 2026 so 2025 so then they will process this information AIN then the supplier will register the material in the AIN as per the schedule then it will go to the process sender process so it will be the within AIN what we understand the very beginning there is a check IBP going to recommend based on the previous trend and all and for example this material the similar item what was the pattern utilization and all to review by the inventory control engineer so this review we will read directly from AAN or we want to push this material S for AHANA to review so what so we have different stages if you look at the AAN stages first it is coming in the AAN once the AAN process completed then it will push to the MDG It's pushing to MDG, isn't it?

22:45 - Nishant Keloth (Borouge) Yeah, yeah, see this is this this entire thing. I know it.

22:50 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, exactly.

22:52 - Nishant Keloth (Borouge) But I think I'll call it. See, I don't want to hold the discussion now. We let's have maybe sometime if we have with with my current project team. If you have a quick call that will be really helpful later sometime.

23:04 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Let's let's let's try to close the conversation. That's why we have this workshop here. What do you think is relevant here? We have all the different stakeholders. Can they join us for a few minutes?

23:18 - Satish Desai (ADNOC Group D&CS) Yeah, I think the discussion should not be whether the IDP is going to involve in in AIN or not. Is not going to involve in AIN tool. Okay. Because the reason is the AIN tool is just recommended. This is nothing the final outcome. So always what IBP should be involved when the material is created in S4 with all the data.

24:00 - Conference Room (MM- SKEC2 - L08) - Speaker 3 That's what the recommended.

24:05 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) What is the difference between the material created through project or material created through the normal creation process? No difference as far as system is concerned. That means IBP is not going to support in any way in demand planning for EPC project, is that correct?

24:25 - Conference Room (MM- SKEC2 - L08) - Speaker 4 No, I wouldn't say that. So just to be on the same page, what's the purpose of using EPC the material creation in IVP has to be triggered, first of all, from SRHANA. With that, as Mo just mentioned, we're also going to integrate the amount that is recommended for the manufacturer. On the top of that, I think we're jumping a few slides here, but no worries. We're going to propose a statistical forecast based on our reference material. The manufacturers saying, A, well, okay, based on the reference material, based on the consumption history, the system is recommending B.

25:15 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Sorry, sorry for interruption. Most of the CPC project materials may be new, 90%. You will not be able to see any consumption pattern for this. This will be purely most of the material based on the number of equipments and number of quantity of the number of portions all in the current equipment okay so yeah yes so what the tool can can do and um well this is we're going to explain this in the next couple of slides is that so based on that we want to understand what's the difference between items created through uh projects through by the tool am and then as a normal process by the question by the end user may wants to add some more material, new material in the SAP, it will go through the MDG and then new material will be created. What is the difference between these two processes? How the IBP is going to support in terms of materials created to the EPC project in terms of planning?

26:21 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Is not a material creation tool. Is a tool which looks at the material demand and allows you to plan the metal better now when when the metal is created metal is created in s4 the so s4 does not care what is the source of the requirement of the metal it only there's no difference you mean just hold on let me let me conclude what we are trying to say here so from from an sap perspective it does not matter how you create metal it's a material code it gets created the way you've defined in sap the segmentation segregation material type all those parameters which are required to create material, whether it comes from AIN or user request, the material would get created. Now, from a planning perspective, when we are trying to plan for EPC, there is a project in EPC. And for that project, we are trying to plan the materials. When we do the planning of that project for EPC, in IVP, relevant planning information would be available, which means you will be able to see the project. You will be able to see the materials which are planned for that project. We just need the material to be created in S4 HANA first so that we can pull the material information in IBP. The project details would be available in IBP and then for that project life cycle like it is for next two years whatever planning you will do on monthly basis you will be able to see what all materials are required which are given by the manufacturers, the quantities which are provided by the manufacturer. For those quantities you will be able to analyze whether those quantities make sense or not. And if you update what is the quantity as per the maintenance planner or inventory planner's input, then that quantity would be considered as final demand from UPC, which gets into procurement proposal as part of the supply planning process.

28:10 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) This manufacturing proposals will be available in AIN, not in S4 or not?

28:15 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, but manufactured part numbers would be available in AIN. No, no, no.

28:20 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) recommendation the levels and all the recommended level will be available in AIN and then the final accepted levels will be after the inventory controller review will be updated in MDG I mean S4R. How this will be verified I mean make sure what are the recommendations.

28:39 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So that's where Mo will help you understand the process how it is different probably you would like to show in the process from the point of material till the planning in IPP.

28:52 - Conference Room (MM- SKEC2 - L08) - Speaker 2 So this is what we're referring. So in step 16, what we're taking is that we want to take the material number from SAP. And then the recommended quantity of the supply from area, right?

29:07 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) So after creation of this, please confirm once the MD item number is created in MDG, so this would be pushed back to the AIN as a reference? What is the link between? No, no. Then how they will link?

29:21 - Vignesh Perumal (ADNOC Group D&CS) Yes, AIN material will get pushed. Yes, then fine. See, but I think your question itself is a little different. Let me tell you what they are trying to ask for. Assume that we have a project and during the commissioning the EPC will submit or the manufacturer will submit the spare information with his recommended quantity this is happening in the IBP when he submits this it goes first to the project team to the maintenance team and they review over there you know right now a material is not even created in the SAP HANA system okay he just says that this is my part number these are the specifications and this is my recommended to your operating spare part quantity this is what the manufacturer tells and this goes to the maintenance team in the AIN tool as a workflow, and they put maintenance reviewed quantity. They put their quantity in the AIN. Once they do it, then it comes to the inventory controller. Now you see inventory controller, what he does is, he goes, probably looks into the SAP HANA, that do we have any equipments with the same spare part, something like that they do, and they say that, probably the manufacturer has requested probably stocking 10 quantities, but we already have similar equipments or spare parts. So we need to only stock, say, three quantities. This is also an action which is taken by the inventory controller in the AN Just note, even still now, the material code is not created in the SAP HANA. Once all decisions are done, then what happens is this creates an MDG, and once the MDGCR is approved the material code gets created in the SAP HANA and whatever the parameter that is the stocking parameter that they have put you know in the AIN as you know the inventories recommended parameter that goes to the safety stock or to the reorder point. This is how it happens. So what IBP is where IBP is going to be involved now in this case is after the material code is getting created, isn't it? So once the material code is getting created, currently, anyway I have not thought about the 2B process, currently what you are saying is once the material code gets created in the SAP HANA system, you are going to extract this to the IBP system where you can use your sophisticated, you know, planning formulas or whatever and you can determine the reorder point. But the point here is, this reorder point or the safety stock was actually determined by the inventory controller earlier when the SPIR was submitted. So does that mean you will again after the material goes to the IBP, you will re-execute your sophisticated logic to update the parameters, Is this what will happen?

32:34 - 1Nishant Keloth (Borouge) So, Vignesh, there's two options.

32:41 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Yes, your current process that the inventory controller is reviewing the quantity before the material is created. Now, if there isn't any system limitations, let's say once the cataloging team reviews the Description right and then we make sure there are no duplicates And then the EAM user will review the equipment Components the equipment it goes straight to material creation. And this is after that in IBP The controller can do these Review That's one option.

33:24 - Unidentified Speaker Yes. Yes.

33:25 - Conference Room (MM- SKEC2 - L08) - Speaker 2 This is one option the second option is that what you've discussed is that there could be one let's say preliminary review in AIN but then the final review will happen in IVP.

33:38 - Vignesh Perumal (ADNOC Group D&CS) We will get you know see the thing is they may say that why do I need to review you say okay fine see as of now yeah so that's why yeah that's why Vignesh we're not putting in the that

33:52 - Conference Room (MM- SKEC2 - L08) - Speaker 2 process flow, we're excluding the inventory controller from the left-hand side, right? So you can see your current process is that the inventory controller is reviewing the material before it gets created in SAP. What here we're saying is that you can review that, right, once the material gets created in SAP.

34:18 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Which is the option one mode is described.

34:22 - Conference Room (MM- SKEC2 - L08) - Speaker 8 There is a point here, as soon as the material is created, no matter whatever the initial, we put the parameters, the vector parameters, it's already going to go for purchasing. So the material is created, it's going to pop up as soon as we do the MRBRAN, and it will go for purchasing directly. So we try as much as possible, if we can, do the analysis prior to material creation. Because once the material is created, the vector parameters are already set.

34:48 - 1Nishant Keloth (Borouge) mandatory field that you have to put in but yeah.

34:51 - Conference Room (MM- SKEC2 - L08) - Speaker 1 But then if the material is getting planned through IPP we can put select the correct MRP type so that MRP does not create purchasing proposals and then IBP does the planning and create proposals so that way we can make sure that even after the material is created it directly does not pops up into the purchasing queue and then it goes to to IBP for planning, because that is where you will have the review of the entire demand, because that is where the inventory planner will have the visibility of what is getting planned for different equipments across a different location. So he can decide better, confirm the quantity, and from there, IBP will create the purchase regulation based upon what he's aligning.

35:38 - Unidentified Speaker Question.

35:39 - Conference Room (MM- SKEC2 - L08) - Speaker 4 You're saying that when the material gets created, because of the MRP type, it can generate a purchase requisition immediately. What is the amount? Is the manufacturer's amount? The recommended amount from the manufacturer is the one that is being purchased?

35:56 - Conference Room (MM- SKEC2 - L08) - Speaker 8 Both, actually, the manufacturer recommendation and also with a review of the V3 controller through INM system. Also, because it generates a CR request, a creation request from the SAP system. So during that, review the parameters and all that, you can emit them as well. Not only the manufacturer's suggestions, also the review of the metric controller. So if it's possible, actually, my suggestion is, once the MDG is created, is it possible that the IBP can actually interfere there and give suggestions before the material creation? It is already in SAP system, but the material is not created, the material number is not there, but it's already as a request I mean our recommendation is to go through the planning process which will take just a few

36:45 - Conference Room (MM- SKEC2 - L08) - Speaker 4 steps to do the process and then we will get the results that are the same ones that you are presenting here. But we have to go through the step by step to achieve those results.

36:59 - Conference Room (MM- SKEC2 - L08) - Speaker 3 I think this question is what you're saying is after the material is created. Saying before creation of material.

37:08 - Conference Room (MM- SKEC2 - L08) - Speaker 8 it more clearly, we have two systems right now, AI and system. After the AI system completed the process, there is a generation in the SAP system, which is another request, creation request, still the material is not created. So when you go on the SAP system, while the request is there, and we interfere there with IBP to give suggestions for the inventory parameters prior to material creation.

37:34 - Conference Room (MM- SKEC2 - L08) - Speaker 4 The limitation here is that if we don't have the material, this is more IT, but we only have one source for IVP. That source is S4 HANA. If the material is not in S4 HANA, there's no way to have it in IVP.

37:48 - Conference Room (MM- SKEC2 - L08) - Speaker 3 They can't pick the material.

37:50 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Material is one of the key fields. It goes through across all the planning fields. Now, that material number, if not there, and your S4 HANA system defines what is the material number. Yeah, that logic is there. We cannot replicate that MERTIL number creation somewhere else. So, and if MERTIL number is not available in IBP, we will not be able to do the rest of the things because that's the key parameter for do anything in IBP, which means without MERTIL number, we will not be able to forecast. See, MERTIL is a key field. How would we identify for which MERTIL we are trying to do planning or forecasting? How it is getting captured in IBP and how it can be passed on to the nexus? So that becomes a challenge is that since it being the key field. The basic information for for IBP to do anything is the location which plant we're trying to do. What is the material for that plant and like so material plant location related. This information is the basic information for any any information, any analysis to be done in IBP. If the metal number does not exist. On what basis we are doing the planning?

38:58 - Conference Room (MM- SKEC2 - L08) - Speaker 8 Can we utilize? There is a dollar with your numbers created this early. That's a temporary one, so we cannot utilize it for IPP.

39:08 - Nishant Keloth (Borouge) That's a temporary number we cannot.

39:14 - Vignesh Perumal (ADNOC Group D&CS) See the dollar number is a temporary number which is all fine, but now our SAP HANA system is running. The MRP for this material, but in the future after the IBP SAP HANA MRP will not be executing the MRP of these materials right. So it will be the IBP which will try to do the demand planning of these materials. So what will happen if the material gets created and the material you know goes to IBP and does the demand planning and creates the PR. See, what you also need to keep in mind is in the future, our MRP, SAP MRP engine may not be running and creating the demands. That happens now, but in the future after our IBP implementation, maybe the SAP HANA MRP will may be used for a very selective list of products, not the CPC, maybe for non-stock or I don't know, And for some specific,

40:21 - Conference Room (MM- SKEC2 - L08) - Speaker 1 I think we were discussing about some learning based consumable materials is what we will use. And we will see, we will see during the design.

40:31 - Vignesh Perumal (ADNOC Group D&CS) And we will discuss on that. But from the perspective of this project discussion, okay, Khalid, what I am thinking is since SAP HANA is not going to be the demand planning system, once the MRP gets created, okay. Once the material gets created and the material is replicated to the IBP system. The IBP system is a central place where the inventory teams are going to review all the demand forecasts. So it may be the right one place for them to get the aggregated demand verification. Isn't it, Khalid? Because otherwise you know MDG even if you try to do something at the MDG CR level that may not be optimal or it may not go through all these complicated algorithms that IBP will do. So what will happen if a material gets created? Once it gets created it will go to the IBP and IBP does the demand planning for this material based on whatever historical consumption, planning parameters whatever If it does and what if the inventory controller reviews it over there? What what problem will it make for us?

41:55 - Satish Desai (ADNOC Group D&CS) Witness. Yes, I think this that is see the IDP involvement should be always from S4 HANA material after the material creation in S4 HANA. It will never help if we even though will try to involve before creation of material. So always it should be after creation of material. Yes, Satish. This is what I am also trying to brainstorm with the team over here. OK. So IBP is going to be there, going forward planning. There is one question here. If MRP to be run through IBP, there is no issue. Even after creation of material, IBP, you can configure the IBP. Go to IVP, IVP run the MRP and forecasting.

42:44 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This is for the standard, what we are expecting here for APC contract, what we mentioned in the previously in this as a requirement. So, what we are expecting from IVP, IVP to predict the forecasted consumption based on the similar equipment, the material consumption historically. So, this material does not have any historical consumption to predict or review within SAP or within IBP itself so what we are going to similar equipment material the pattern so what was the consumption so based on that so the recommendation to review for example currently as we highlighted here the vendor recommendation all the recommendations not passing to S4HANA so this information in the IAN only so when once so the IBP we need to integrate with the IAN then only we get all the information.

43:40 - Vignesh Perumal (ADNOC Group D&CS) Can I tell you one thing, Abdul?

43:43 - Unidentified Speaker Yeah.

43:44 - Vignesh Perumal (ADNOC Group D&CS) In fact, we have the EPC. You are just not seeing it on the screen, but we have the EPC recommended quantity. We have the manufacturer recommended quantity. All this, we capture it. In the SAP? Yeah, in the SAP. It comes to SAP. I can show it to you probably.

44:07 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) then fine for this information available so all the information from AN is available in SAP then no need to integrate it to AN so we can read from the SAP. However what we are seeing that this all information to be captured in IBP and we want to go for the further review and this recommendation so before we are placing any order we want to validate the the recommendations.

44:35 - Conference Room (MM- SKEC2 - L08) - Speaker 2 If I may, just, what you're describing, sorry Nishan, what you're describing is that the process itself can be done. However, we still have, from last week's discussion, we still have that gap for the new punch introduction. We're still trying to see a way or find a solution for that. Which is the automatic prediction of a similar part. But what you're describing by itself, the process itself, will be done in SAP IBP, which is to review what the EPC contractor has put in based on the historical consumption of a similar product. Now, how this will be done, this is still, let's say, a gap that we need to address. But the process itself will be an IVP. Yeah, clear.

45:53 - Nishant Keloth (Borouge) OK. One quick one here. So when you trigger this planning for a particular EPC project, how does IBP understand that this are the materials which are you know for this particular EPC project because the replication will be as per the normal any other material to IBP right so are you also getting the project?

46:17 - Conference Room (MM- SKEC2 - L08) - Speaker 1 yes we need the project code okay okay so but a question here Vignesh when when the material is created I understand mutilated parameters and demanded information is flowing. Does the project information flow into S4 HANA? The project code which is in AI.

46:38 - Vignesh Perumal (ADNOC Group D&CS) I just put it on the chat. If you see, I just put a screenshot on the chat. Can you see this screenshot? Yeah, let me just put it like this. You can see the new screenshot that I'm going to put now. So this is a custom table. If you go to the material master itself, currently the behavior what you will see is that you will only be seeing the quantities which are suggested by the inventory controller. But whenever the spare parts are getting created in the SAP HANA system, what we do is we store over here, if you see there is a project number, if you can see, we have the project number for that project, what was the SPIR number, SPIR item, the manufacturer part number, what was the manufacturer proposed quantity, what was the contractor quantity, and these all information we store it as custom tables. So this is probably I think what you are asking for which project which this is something we'll pull so that is where we were discussing whether we need to pull this information directly from AIM we would like to keep S4 on as that one place from where we extract all the information if data is available in S4 and what we're showing it's available which means that we can pull all this information in IPP and make sure the project related details are available for the team to review when they are the demand in IPP? Should be. This table is going to have all the list of materials which are confirmed from the AIN process. You don't want to go to AIN where there may be so many materials which are not confirmed, deleted, you know, in under review. We don't want all those things. These tables will have the confirmed quantity with the manufacturer recommendation, contractor recommendation. You also will have the SAP material number also in this table. You can then use that for your calculation.

48:57 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes. Thank you so much.

49:02 - Satish Desai (ADNOC Group D&CS) Vignesh, just one question. Is it really, sorry, are we really project-based demand planning?

49:15 - Satish Desai (ADNOC Group D&CS) Because, see, our demand planning should not be as a project-based, it should be the material category and all those things, considering all those things, it is not only the project.

49:26 - Prathviraj Anchan (Borouge) That's right, it's not only the project.

49:28 - Satish Desai (ADNOC Group D&CS) I don't know, it is the inventory team to decide, it is the inventory team to decide, but I'm just asking, is it, why we need a project-based Essentially you are procuring for a specific project so from a planning perspective

49:41 - Conference Room (MM- SKEC2 - L08) - Speaker 1 you should be aware that while I'm procuring independent material by material type.

49:46 - Raghavendra Mithal (ADNOC Refining - HQ) I think we are not procuring right it's by the EPC contractor. We are procuring only for spare parts.

49:54 - Conference Room (MM- SKEC2 - L08) - Speaker 1 We are talking about spare parts only the procurement of spare parts only since our discussion is related to MRO so whatever spare parts which part of this specific project, what we understand is the requirement is to make sure that for a given project we are able to track what all material spare parts SPIRs are required, analyze the demand and make sure those are available in stock as for the timelines of the project. Is that correct understanding? And for that purpose only we will be able to track the entire information at a project level, at a plant level, at a material level. These are all hierarchies defined in IVP. At a function location level, at an equipment level, all this hierarchy information will be available for planner to look at this information in a way he wants to look at.

50:59 - Vignesh Perumal (ADNOC Group D&CS) from Satish is trying to tell you the process what happens today in the sense they do not do a project based planning. So, assume that the MRP made this material will get created if it will have a reorder point you know then whatever the material is going to be planned is going to go to the common inventory, they don't have these type of project-based planning. You are trying to think of it as a demand which comes from the project systems, where if you have a project systems module that is used for EPC projects, then from there a material will come. Then when it comes, in that time itself the material is segregated as a project stock requirement. But whereas over here, the difference is when it comes from the AIN and when it creates the material master, it is not currently denoted for a specific project. It just creates a material code and there is a reorder or safety stock which is assigned. We cannot say that this is for a specific project. The MRP doesn't do that currently.

52:30 - Conference Room (MM- SKEC2 - L08) - Speaker 4 Agreed. Yeah, agreed and we need to review that in the technical session because it's something that there is a gap there. We have a material from one side as you explained that is coming from S4HANA and at least from the IT perspective has no relationship with the project. But on the other side we have this material is indeed assigned to a project and that's why we to buy it so we need to balance these two things.

52:55 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yeah but then the project is only for the purpose of tracking here in IBP we are just creating project as an hierarchy element to be able to understand where the specific how this specific demand stream is impacting the overall demand you have from different like there can be a separate correct to demand there can be separate prevent to demand and then there can be demand which is coming from EPC. So to be able to identify what all different demand streams are there for a given material and then be able to holistically plan the demand for that specific material is the intention and this information the hierarchy would be available to planner to see what all different demand components are there when he is planning a specific So you are right. Inventory will not be project stock.

53:50 - Vignesh Perumal (ADNOC Group D&CS) So what you are trying to say is we have mentioned three types of demands. Assume that there is a material which is used by a normal breakdown or corrective maintenance. So the reservation which gets created from that work order will be your corrective demand. And when it comes from preventive maintenance, if you have the maintenance plans, I think that is what you are going to call as a demand from the preventive perspective. Whatever we are going to push from our custom table, I think we just showed you, this will going to be your demand which is coming from the project. So a consolidated perspective, what you're trying to say is the inventory controller will be able to see the three type of demand for a material, whether it comes from the corrective, preventive or from the EPC project and they will be able to take the stocking decisions, is this what you're trying to say?

54:45 - Conference Room (MM- SKEC2 - L08) - Speaker 4 Correct. You're on the right track.

54:50 - Conference Room (MM- SKEC2 - L08) - Speaker 2 In the process, that's step 20. So the system will consolidate the demand. They can do it by category. There's a lot of filtering criteria the inventory controller can do. But yes, controller will be able to see the demand from corrective instead of BBC.

55:15 - Unidentified Speaker And just to highlight that we need to find a way to identify this demand as a project demand coming from the project screen, not from corrective or preventive because that is not the case.

