Inventory Planning & Inventory Excellence - Drilling 
lun, 23 de sep de 2024

0:37 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Oh.
19:56 - Vignesh Perumal (ADNOC Group D&CS) For the tender, you see that the thing is, see from the from this project perspective, Abdul and Ashik, this is this is one we always you know. No, we know that there is a there is a system called as EWDP. What happens there? What do you do over there in that system? So why I'm asking this question? If you're going to have all these in Excel sheets, then the Excel sheet will be an input to IDP. But if you're having some system, is there really any connection required in this project to that system? All this we want to understand. What happens system, EWDP.

20:40 - Vignesh Perumal (ADNOC Group D&CS) You have two systems, EWDP and EMRP, correct? Is probably the planning will happen probably in the IBP system, but EWDP, what happens there?

20:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I want to understand that.

20:55 - Conference Room (MM- SKEC2 - L08) - Speaker 1 If I may, let me just share my screen I have. So based on last week's discussion, we've kind of separated. Let me just try the phone. And then, Abdul, if you can please correct me here if I'm wrong. But basically, EWP is being used for onshore to determine the here. The materials in those material baskets, right? But then everything else, the material forecasting, this happens outside of EWP. From onshore perspective, the scheduling is in EWS, and then in those, in EWP you contain, you have the basically all the materials and For those material baskets for offshore. Um, I would. And you please correct me if I'm wrong, not necessarily using E W P because, uh, the requirements are slightly different. They cannot Fully integrate with E W. So the baskets are being done outside of the system, and they're doing it in Excel.

22:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) In Offshore, it's implemented only DWS.

22:41 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Is still not under implementation. I think they're going for some upgrade, and so far not implemented. So this is the current situation in Offshore. So from DWS, this is the bar chart, so it's available in the system. Then they're extracting in Excel and after that they're making everything in Excel. This is the current situation in offshore. Yes, yeah, maybe Ashik if you can just confirm all the commodity in the EWDP basket and everything available and the EMRP also maybe I think in the last time Matthew shown the Happening in the excel sheet. Maybe it's available in the MRP live. Maybe so as we said So we want to connect in the three system in this case.

23:26 - Mohammed Ashic (ADNOC Onshore - PD) Otherwise now see MRP will keep aside because that's not been used now after the VMI because we have problem with integrating with supplier VMI quantities And that's why we are not currently using EMRP. So keep that aside only we are using DWS and eat a WTP for the well planning, rig scheduling and basket of material and forecasting.

23:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, EWDP also what I understand last time is not fully up to date for the all the commodity. Still there need some more work over there.

24:02 - Mohammed Ashic (ADNOC Onshore - PD) Is it correct? Yeah, EWDP only during the VMI. I mean they have code all the generic item is linked and and the basket of material also each generic number the issue is that for completion since they were around 5,000 or item they have not created the generic number for completion item but the remaining wellhead OCTG all has got a generic number that's why in that basket they have they had kept blank item code there.

24:39 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Other than that all baskets are available now?

24:46 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So in this case we need the connection in the DWS and DWDP.

24:50 - Unidentified Speaker Yeah.

24:52 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) And also in parallel maybe we can collect the Excel sheet where we can compare in both actually. So we don't want to see any missing part in the system flow. If they're not fully updated Otherwise, we have to depend on the Excel sheet. Isn't it?

25:15 - Mohammed Ashic (ADNOC Onshore - PD) Yeah, if we have some connection issues, and if you want to speed up this project, maybe in the meantime, we can have some uploading function through Excel where we can upload these forecasts. And then do the review.

25:41 - Santosh Kumar Sharma (ADNOC Group D&CS) Hi Santosh from KPMG. During previous week conversation, we heard something from the offshore team. The material basket, they can't make it finite. So they say that keep on it's dynamic in nature. Will the EWP solution which we are talking about takes care of that dynamic update of based on the different risks or the different fields on which we are working? Will that help?

26:21 - Unidentified Speaker Nashik, can you answer?

26:25 - Mohammed Ashic (ADNOC Onshore - PD) that the end-user can confirm because as for onshore is concerned all the baskets are within the EWDP but offshore was saying they have they're keeping it they maintain excel sheet so we don't know if EWDP if implemented in offshore

26:43 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) will solve this issue I'm not sure now see so we cannot wait because the last 10 years the under implemented And so the last four years aggressive. So that's reason offshore we can recommend for the Excel sheet. That's fine. So we can confirm only DWS will connect for offshore. Even the DWS also, they're ready to provide an Excel sheet.

27:11 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So what we can do, we can connect in and compare in the DWS area, which is fully working in offshore and onshore. The second layer, which is EWBP, so offshore not implemented. So, that's a big huge enhancement in the system expecting, I think, still under the tender stage. So, anyhow, we'll take this update. So, for our, during our project, what I understand, it will not come. So, they'll provide an Excel sheet for offshore. Okay, understood.

27:48 - Conference Room (MM- SKEC2 - L08) - Speaker 1 All right. Another point, just for clarification from inventory planning. So we saw in EWB that the materials don't have an SAP material number yet. But yet, we have the order quantity of what we actually need for the specific material, which is in a material basket. What happens next? So let's say, right, we looked at, we look in SAP, we don't have enough stock, or we don't have, we don't have that material in SAP. Then we create the material, and then, We issue a PR.

28:45 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, we'll make a PR for that. For the tendering purpose. So in the once we now we are moving to already we're done with the category. The category we are not issuing a PR because it's coming from HQ and at the time the there is a no integrate system We done the most of the tender is before SAP so it's like we should a tender document after the analysis through category management.

29:25 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Then the consolidated list will provide to the category management then this list and it will tender out. Then we'll receive maybe the invited suppliers, like technical offer in the beginning. After the technical evaluation, we'll invite for the commercial offer. Then commercial offer after evaluation. So we will choose either two or three supplier based on the required, like the strategy. So if it is award to three vendor in the strategy, then we will get three vendors. These three vendors we will award and once we award these three vendors, we'll create independent material number for each vendor.

30:24 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Even though material is the same, right? But it's just from different suppliers, right?

30:38 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I'm going to go.

30:45 - Mohammed Ashic (ADNOC Onshore - PD) No, no, we can't hear.

30:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, OK. Yeah. Sorry, it's going to be so far from me. Now the the tender whenever we make the the final requirement that For category management, we prepared the tender document spite outside system This is the last time happened then this tender document the category management that put in that market and After that technical evaluation and commercial evaluation we place to the three vendors based on the strategy So if it is true and there is such a in strategy, then we allow to the two vendors In OCTG, we have three vendors as per strategy. In wellhead and other commodity, we have two vendors. And once we award, then what we do, we will make a separate material number for individual vendor. Because at the time, each vendor have different technology, different description. So we cannot maintain in the single material number. For example, the tanneries is a major supplier for us. Tanneries have their own connection and their own material properties so then we'll describe everything for tenorizing the one single material number and the same item if it is going to the other it another supplier and the third supplier is barbini then we'll make it individual material number so this would be the branded material number we call so there will be a connection between this the tender number to the the alternative material number this three Who takes care of

32:22 - Conference Room (MM- SKEC2 - L08) - Speaker 1 that? Who's responsible for that? Which team?

32:27 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So it's an invented team and along with the material engineering team. So this all we've done at the time as exercise under the category management.

32:48 - Santosh Kumar Sharma (ADNOC Group D&CS) So, Mr. Abdul, a follow-up question. Is this category management a central team or a decentralized team spread across onshore offshore entities? It's a central team. It's a central team. And all of these tender documents are also, after consolidation, a single document for every entity.

33:09 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This is the same as a single framework agreement. We'll establish a single framework agreement. Then this from the framework agreement, there will be child work orders for the individual group company.

33:28 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) That's in the individual group company like agreements.

33:39 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So then, from that, the particular, the final LTPA or agreement, we are making release orders.

33:49 - Conference Room (MM- SKEC2 - L08) - Speaker 1 You're making a...

33:52 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I didn't hear you.

33:55 - Unidentified Speaker We are issuing the pure release.

33:58 - Conference Room (MM- SKEC2 - L08) - Speaker 1 OK.

34:01 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I'll do one thing. I'll share my screen. One second.

34:16 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I think if you want, you can elaborate more. So I'll find the document for you.

35:39 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Abdul, do you wanna, are you sharing your, do you wanna share your screen?

35:46 - Mohammed Ashic (ADNOC Onshore - PD) Abdul is I guess is on hold. Any other specific question that you have that I can elaborate?

35:53 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Okay, so let's see if we can summarize.

36:08 - Conference Room (MM- SKEC2 - L08) - Speaker 1 A lot of this is happening, let's say, outside of SAP. What SAP will have is only the stock, let's say.

36:21 - Mohammed Ashic (ADNOC Onshore - PD) Yeah, stock and all the procurement information.

36:26 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, the procurement part will be...

36:30 - Rahul Patel (ADNOC Group D&CS) Essentially, there will be planning parameter maintenance ap from a inventory perspective right like safety stock or your reports everything because everything is essentially happening outside and you are just processing the uh purchasing part of the uh yes planning so it's an execution only no planning yeah planning is outside sap system so so the so is it safe to assume that no metal master parameters are getting updated by the MDG team, master data team for all the drilling materials.

37:04 - Mohammed Ashic (ADNOC Onshore - PD) For the planning parameters, yeah, but other parameters are populated.

37:08 - Rahul Patel (ADNOC Group D&CS) Yeah, from an execution perspective, right from our inventory planning, the point of our subject where we are trying to analyze from a planning perspective inventory. So there is nothing maintained in SAP from a planning perspective, only execution related and all the data basically which is driving the planning is outside SAP.

37:25 - Mohammed Ashic (ADNOC Onshore - PD) Yeah.

37:29 - Conference Room (MM- SKEC2 - L08) - Speaker 2 What about the criticality of the material and these parameters? Slow, fast moving, these are all not maintained.

37:37 - Mohammed Ashic (ADNOC Onshore - PD) Those are those are maintained.

37:39 - Khalid Sarfaraz (ADNOC Group D&CS) Those are maintained, those are maintained.

37:43 - Rahul Patel (ADNOC Group D&CS) But even if those are maintained, whether those are used because it is not essentially doing anything right?

37:50 - Khalid Sarfaraz (ADNOC Group D&CS) It's for reporting purpose only.

37:52 - Mohammed Ashic (ADNOC Onshore - PD) No, it's based on actual consumption those those parameters are based on actual consumption, so it has some relevance.

38:00 - Rahul Patel (ADNOC Group D&CS) But but the question is, even if you maintain and you have this data for drilling materials, but it will not drive any decision or whether you're pulling this data from SAP and then feeding into the planning system, which then utilizes this information for better planning next time.

38:16 - Mohammed Ashic (ADNOC Onshore - PD) No, for planning will not use. We we will need this information for our age, say for for like slow. Fast moving. This will be required for aging analysis yearly for even for any material, be it drilling also. Yeah, so for planning purpose, no, I mean planning is based on its. The forecast demand is outside the system, so we we take the informations within SAP like those inventory and procurement information and then we do planning outside the system.

38:48 - Rahul Patel (ADNOC Group D&CS) So right now, just now as you mentioned that aging is one of the things probably will do the analysis based on the parameters that you mentioned. But then the feedback of aging, whether it goes back to the planning team saying that you're planning something more because it is leading to aging. So you're not forecasting correctly or you're not planning correctly, which leads to more inventory, which leads to aging. And now this aging feedback has to be incorporated back into planning so that we don't end up aging in future again, right?

39:19 - Mohammed Ashic (ADNOC Onshore - PD) That is incorporated but not system wise. Maybe we provide this information as reports to them. So they may consider this information for their planning.

39:30 - Rahul Patel (ADNOC Group D&CS) So might or is happening?

39:33 - Mohammed Ashic (ADNOC Onshore - PD) No, it's happening. So we send these reports, information of movement, non-moving items to the drilling users. They know which basket of material that is not moving or it is for special specific projects, then they would take action against those items when they are doing the planning. But that is manual out of not within the system.

39:57 - Rahul Patel (ADNOC Group D&CS) So so probably there is no way to track whether how efficiently this input is taken into consideration when the actual planning is happening, yeah?

40:09 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So so they would take action You would provide the reports to the demand planning team, and then they would take into consideration whether the site is...

40:23 - Mohammed Ashic (ADNOC Onshore - PD) Yes, yes. But that is manually, not system-wise.

40:30 - Santosh Kumar Sharma (ADNOC Group D&CS) So, also...

40:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I put it there on the slide. Maybe we can discuss through that.

40:39 - Mohammed Ashic (ADNOC Onshore - PD) And also, like... The moment and all depends on the basket of material, so so number the type of well they have already planned. And the basket of material defined would automatically pop up when the type of well comes in the planning. So I don't know how they can avoid that if because if that if that plan is already planned. It that those material will anyway be ordered. Irrespective, if there is concern not because that is planned in the next year.

41:24 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) If you want I can go through this slide.

41:36 - Khalid Sarfaraz (ADNOC Group D&CS) looks like an old document, right?

41:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly, this is what we have done, because at the time, so the current, the category management process, we initiated in 2015 implemented in 2018. And this is established all the agreement for the some category for 5 years, which is going to end soon for OCTG, then other category like valid and all, we established for So this is the current the tender happened through this. So here only the difference mainly the company at the time. At the time, so Adma, Zadko and Adko and Ellacent. This is the old name available at the time.

42:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) It's not syncing, one second.

42:47 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) There's some issue on the...

42:51 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Connect the remote link.

43:08 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Another big question. Abdul, if you're loading in.

43:15 - Unidentified Speaker Yeah.

43:17 - Conference Room (MM- SKEC2 - L08) - Speaker 1 The process. How do you determine whether the material is going to be VMI or it's going to be AdMob validation?

43:29 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, this is we've done analysis. This is what we're going to show here. So this document will explain. We made a study, then based on the study, so we determine which are the commodity to go. For example, we prioritize the most spent category, the OCTG, Based on spend analysis, what we prepare that.

43:49 - Unidentified Speaker OK.

43:51 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) And we are in the process of next renewal or re-tendering of all this multiple category. And soon we'll initiate this process as well. Because it's going to finish the period. Then we'll establish once again.

44:12 - Conference Room (MM- SKEC2 - L08) - Speaker 1 And if it's via my manage. How do you document this in SAP?

44:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) It's already documented as a framework agreement.

44:27 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So we have framework at HQ level. Then we'll make a child under the group company level.

44:34 - Conference Room (MM- SKEC2 - L08) - Speaker 1 But do you have, let's say, virtual storage locations or Like for example for material X. It's setting It's it's vendor managed how how would you know that this material is an SAP that it is VMI Yeah, so actually This is we issued exclusive number for VMI So, this is the number which are material number

45:11 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) you are using only for VMI purpose. Then, secondly, whenever... Are you sharing something? Actually, my PC is stuck. I'm going to restart. So, maybe I'll explain. Ashik, do you have any document to share for the instruction manual and all?

45:37 - Mohammed Ashic (ADNOC Onshore - PD) now see again here offshore and onshore we have different way of differentiating the VMI in onshore we are maintaining separate storage location so VMI items within the VMI stores are identified through separate storage location while in offshore it is they since it is a different item number they maintain it in any any of the storage location and they had to identify through the specific item number. There is no specific storage location for VMI item.

46:11 - Rido Mardian (ADNOC Sour Gas - Procurement) Yes, the same also in Sorgas. My name is Rido from Sorgas. I was following from the beginning also. For Sorgas, we not very have regular drilling campaign. So for the VMI, we are the same like I'm not concerned maintain. We are maintaining the same number, but only under storage locations difference.

46:32 - Mohammed Ashic (ADNOC Onshore - PD) So you maintain separate storage location? Location, right? Yeah, yeah, yeah. So you have supply virtual locations.

46:39 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, OK, so if I were guessing onshore, offshore it is based on the material. Let's say number right now.

46:46 - Mohammed Ashic (ADNOC Onshore - PD) See all have the all have different item for VMI. All three companies, some of them are standardized between the companies. Some are different because they are different spec. So for the VMI Framework Agreement, all the item codes were were newly created for VMI so it's same for all group companies but for onshore and surrogates we maintain separate storage location to again differentiate the VMI item while in offshore we don't have such differentiation it is just that through item number we have to identify.

47:23 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Okay so all of them have the same item number range but on Only, but offshore only has this, only does this, they don't have supplier virtual locations.

47:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah.

47:44 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) It is a virtual location only, but we are using the firm storage location as a virtual. So since the material number itself, we are very specific. So here in the offshore, the complexity here, we have like five concessions. Plants within offshore and almost 13 plants using only for drilling material. Total 24 plants we have in the system. Out of 24 plants, 13 applicable for drilling materials.

48:16 - Mohammed Ashic (ADNOC Onshore - PD) So the question is like how do you identify VMI item from normal item. So it is only by item number not by year.

48:28 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, so then one of the complexity what we can see, so if you want to make the virtual storage location, so individual plant we have to duplicate for the virtual storage locations.

48:41 - Rahul Patel (ADNOC Group D&CS) Yeah, because if you don't have virtual storage location for VMI material, how would you differentiate whether the material has come from vendor to physical location at a point of consumption? If you don't have this segregation done, because then you'll never know whether the material is actually customer even if you have a separate virtual material number?

49:01 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Separate material number only. So this only material number we link to the agreement.

49:06 - Rahul Patel (ADNOC Group D&CS) Agreed. So material number will tell whether the material is VMI managed material or not. But then when the actual inventory you have, you will need to know whether it is physically lying at the vendor location or physically lying at the dealing location. So in that case, if you don't have this virtual storage location you will never know where my actual inventory is from a planning perspective or from an execution perspective.

