Inventory Planning for Chemicals (Production/Operations) 
vie, 27 de sep de 2024

0:03 - Vivekananthan Kathiresan (ADNOC Refining - HQ) Good morning. Good morning.
17:41 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) They just tell you that this is what I need and the stock to make sure then yes we manage this absolutely yes okay so you you see if there's existing stock yes that's true so what we do yes I will calculate the demand so basically what they will provide in multiple uh multiple packing requirement I can sold it all into a requirement as a one like example bio side a example if it is a bio side a I may be having two three uh id will be there so So everything I convert the base unit then what is my available stock including supplier stock. Yes I convert it into this one into number of operational days. So example like you know I have for this one I have 59 days of ground stock available. So my operation yes I can sustain until this one and again I have another purchase order which is already placed which can which will again sustain my operation for another 170 days.

18:45 - Rahul Patel (ADNOC Group D&CS) So when you say supplier stock, it is purchase order, not the stock at supplier level, correct? Yes, open purchase, outstanding open purchase orders. Yes. You consider actual inventories, outstanding purchase orders and the demand which is given by the team to come up with a plan for next quarter or next month, whatever horizon you're planning for.

19:09 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, so how I am getting this many days I can sustain based on the operational requirement which I converted into base units.

19:17 - Khalid Sarfaraz (ADNOC Group D&CS) You are checking the stocks in the system that how much stock is available in SAP?

19:27 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, SAP only. I may show you one excel how I I am monitoring this one.

19:47 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So before that whenever we get the plant one more thing so we will ensure that the all the these chemicals are in LTP and we are depend more depend on the code of orders.

19:59 - Rahul Patel (ADNOC Group D&CS) Okay. We have LTPA for all the chemicals.

20:02 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) We don't get the plan here. Once we get the plan, we'll establish based on the plan LTPA. Then we'll make a release based on the stock level monitoring. Then so in the close we have the new newly introduced, isn't it? The supply stock. Yes, yes, yes, because we have limited stock and chemical, the expiry nature and the preparation. So we put a close in that. The supplier to maintain some minimum level in their premise. So this will communicate to us and we'll put it in this dashboard actually.

20:39 - Santosh Kumar Sharma (ADNOC Group D&CS) Hi Abdul, Santosh, one small query before moving ahead. When you told like the demand consolidation, what's the time frame which you're looking at for the LTPs? Is it one year time horizon or the multi-year time horizon which you're looking at for LTPA?

20:59 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Normally we go for a 2 plus 1 year LTPA.

21:05 - Santosh Kumar Sharma (ADNOC Group D&CS) And then based on that the work order release which the previous Excel which you have showed it's quarterly or half yearly.

21:13 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, we we make sure that at least of 6 months to 6 months release are issued. At least because you know because we various factors as I mentioned earlier because we have many restrictions as well because of the offshore business nature. Lead times would be also pretty high. Yeah, lead time also that is one of them.

21:37 - Khalid Sarfaraz (ADNOC Group D&CS) So there will be internal lead time and external lead time, right? So means one supplier is supplying to your main store and from main store to the rig there is a lead time, right?

21:52 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, that's true.

21:54 - Mohamad Fakhouri (ADNOC Group D&CS) Where is this minted?

21:55 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) And again, it's in Muzaffar. We have a warehouse and we have two islands majorly. One is Das Island and the other one is Zirku Island. Then we have another storage. It's a tank store actually in Muzaffar. We have a very limited space again. So we keep a minimum stock only in these warehouses.

22:16 - Mohamad Fakhouri (ADNOC Group D&CS) But how is this, if we look at the the chain so you issue a PO to the supplier and then the supplier delivers it to which storage location or which warehouse?

22:42 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yeah they will be delivering first of all when we are issuing the purchase order immediately we give our consumption plan to the we are sharing the consumption plan with the supplier so they will make sure that the raw materials are available and enough resources are available to supply on time and most of our supplier they know very well that we have a very limited space so they will also schedule their production according to our schedule even like we could just say it's a just-in-time basis most of our operations are working.

23:15 - Mohamad Fakhouri (ADNOC Group D&CS) But do they supply directly Or do they deliver it directly to the warehouse?

23:24 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, to the warehouse only. From there, yes, our warehouse is handled by ADNOC LNS and they ship it to our offshore sites. And again, the operation is based on whether it's independent. So most of the time, we can say that only 70% percent of the throughout the year only we will be getting as operational days remaining yes it will be due to non-weather I mean weather issues yes we won't be able to operate our fleets.

23:57 - Mohamad Fakhouri (ADNOC Group D&CS) Okay so you do then an SEO from the warehouse to the site.

24:01 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes and again once we issue from our Muzaffar warehouse yes it is out from our system and tracking is even difficult we have we have a transit stock will be available then again it once it reaches site yes we will be having a side stock so which which will not be visible in the system.

24:26 - Rahul Patel (ADNOC Group D&CS) So your goods issuing when it leaves the warehouse?

24:30 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes absolutely.

24:31 - Rahul Patel (ADNOC Group D&CS) And then the stock is outside SAP in SAP you already consumed and issued the stock but then physically monitoring happens.

24:39 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, absolutely yes.

24:42 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So how does it know? Yeah, once it is shoot from SAP, then so we have our logistics provider Adnok LNS. Adnok LNS using a system called ILMS. So the logistic part will monitor under the ILMS actually. So maybe you can Khalid, you can have some integration with ILMS as well to know the exact up to the because the two reaching to the site also this another challenge and so they're counting in days and hours and as Najeeb mentioned so there is a buffer stock at site this is input we need from site people the second thing the this logistic how many in the sea then the transit area this quantity once you show out it will up to the ILMS up to deliver at site it will be monitored under the ILMS once it's delivered then then it will be suffer buffer stock only so site can tell us what is the site buffer. And the another quantity lying in most of us as a once we've done the issue out it it will be lying there for the transit bot actually. So it is there is another quantity available most of this can be captured in the LMS. Then we have in stock which is available in SAP. Then we have like supply stock can be monitored through ASN whatever we can establish a relation to bring the quantity to into the IVP the ASN stock whatever then these are the elements as a supply side we can say

26:19 - Mohamad Fakhouri (ADNOC Group D&CS) just if I if we can go back to the lead time the internal lead time where where is this maintained internally time see there is a MR then the material solution will be there it will initiate by our Varos

26:36 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) team whenever the site instruct to dispatch the material they immediately prepare this basket or the chemicals then they will start shipping so there are these teams are maybe I think you've done with ILMS study before isn't it?

26:59 - Mohamad Fakhouri (ADNOC Group D&CS) Do you have a table where it shows the lead time from warehouse to...

27:07 - Khalid Sarfaraz (ADNOC Group D&CS) See, there is in the material master, there is a field for lead time. So, is that updated?

27:16 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) See, I think, Karith, the internal lead time, for example, so this lead time up to the delivery to the store, it will be from supplier PO to the delivery to site.

27:27 - Mohamad Fakhouri (ADNOC Group D&CS) the store so for chemical this is not sufficient actually right yeah so we just just want to understand like where is this information being stored because at one point the tool needs this information yeah what we can do maybe

27:45 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) we can arrange one more session on the ELMS in detail so let's go through now today Najeeb presentation so this part we will another session for ILMS.

27:59 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Okay, so this is my data table. All the datas are classified based on the nature of item or the common names which is like corrosion emitter, scale emitter, demulsifier or something like that we have given internally some course to identify because each and every category will be having multiple item which may be some of the items are approved in specific fields only and some other sites may be using a different chemicals with similar composition. Then again it is seasonal so in some of the demulsifier example. During winter time yes some of them specific demultifier are using and again and after once the winter finishes we will be switching over to another chemical. So these are the variables we have so accordingly we have to manage. So we cannot talk a lot because since it is having a very short expiry date. So, the supply should be planned in a precise way. So, once we once you have classified this one then yes we are capturing all the like historical consumptions then again plan yes we will be we will be considering the plan based on the input from the end user as I have mentioned earlier from the template and we will compare with the last year last year consumption and if We always consider if the new plan is if it is less than the last year we consider the higher one to for the mitigation as a mitigation. Then again we will be having then what we have is this is the summary of this is a summary of the each and every chemical. So I am based on the baseline what we have prepared earlier in operational days yes we this one into the operational sufficiency of individual chemical in months. Take example for this one. Yes, I can see that based on the current stock available. Yes, my operation will sustain for maybe like one month and one and a half month approximately. One month and few days. And again, I have... Yes.

30:35 - Mohamad Fakhouri (ADNOC Group D&CS) Just a quick question. Sorry to cut you. If you can go back to the tab.

30:43 - Mohamad Fakhouri (ADNOC Group D&CS) So, the revised plan, is this basically adjusted? So, someone goes in and adjusts? Yes, of course.

30:52 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) This is driven with a formula. Of course, I used to collect the plan and I converted into bringing those information into these tables. So, these are all dynamic actually.

31:05 - Mohamad Fakhouri (ADNOC Group D&CS) Okay. Who does the adjustment?

31:08 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) as end user on quarterly basis if there is any major changes in the production of course they they used to advise us the changes then the same time yes we used to adjust in the plan but all all of this we are doing in this master sheet only master excel file only but basically I want to say that this is a dynamic field yes yeah okay so here is the one yes so when we look at the scenario here we can see that yes my operation is sustained for next 12 months so I do not have any issues and I do not need to bother about the and again we continuously monitor the what you call planned versus actual here is the one yes. So some of the chemicals are yes they have consumed much more than the planned one yes so we give this feedback to the end user and they come up with the revised plan.

32:07 - Mohamad Fakhouri (ADNOC Group D&CS) How often do you do this?

32:09 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) On a quarterly basis. Because we have a weekly meeting and we have a monthly meeting. Weekly meeting is to monitor any shortages in the very few days, like within two weeks is how we will monitor the weather conditions and the buffer stock availability.

32:41 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) So what we do is in this report. So this report we are updating on weekly basis. Yes, we take transactions all the histo what? Me 51 transaction. Yes here. We are taking two two zero one two twenty one Two sixty one all the three is transaction then outstanding a mass in the system system, then current balances which is available and we classify according to the three different sites. One is Das Island, Muzaffar and Upper Zakum site. Yes.

33:11 - Unidentified Speaker Availability.

33:11 - Mohamad Fakhouri (ADNOC Group D&CS) Do you separate them by, do you classify, not separate, but do you separate it by criticality? Do you classify chemicals by criticality?

33:28 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes as I have show you earlier the graphs yes these are all the vital chemicals we have in generally we have nearly 200 catalogue IDs material numbers for all the chemicals from that yes we have identified nearly 60 to 70 catalogue IDs which is classified as vital and these vital chemicals are reviewed on a weekly basis.

33:56 - Mohamad Fakhouri (ADNOC Group D&CS) Yes the vital ones but I'm assuming.

33:58 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes that's true. The other one we normally yeah we are sharing the report with the end user and they review this one and if they feel that some action need to be done yes they used to discuss in the monthly meeting.

34:11 - Mohamad Fakhouri (ADNOC Group D&CS) Okay.

34:15 - Mohamad Fakhouri (ADNOC Group D&CS) So you share all the chemicals whether it's vital or non-vital? Yes that's true. And then it's up to the end user to decide whether they want to discuss this on during the monthly meeting.

34:29 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, maybe some of the specific chemical they may ask to review example these two corrosion emitter. Yes, if this is the two chemicals we need to discuss then we go here and we just input there. Yes, we see the status of this one.

34:50 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) So here we can see this is a corrosion emitter yes we have a what you call problem ongoing with this one we have a device the production what you call the supply we have switched the chemical from one to another one.

35:08 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) So the operational days are very limited and our the whatever we have issued recently which is not reflecting here yes we have supplied a lot of chemical here and this is one of the major what you call what you call critical chemical we are reviewing currently.

35:33 - Yaser Salem Bin Zubaa (ADNOC - GP) Here Mohammad Najeeb are the available Zmin, Man and Bax maintained for all these chemical items or we need to keep it as on demand?

35:41 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) On demand only because of the limited space availability. Yes currently we we have a very very limited stock which will last for only 5 to 10 days of operation. Let's say supplier here is the supplier which they are ready to supply a lot of what all the quantity they are ready to supply but we don't have a space to keep it. So this is just like just in just in time and just in time delivery based That means you order it based on end-user reservation?

36:14 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, that's correct. And how many percentage of these items are under LTPAs from work agreement etc.?

36:23 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Right now, 70% of the vital chemicals are under agreement. This one also, including this chemical also, this is under agreement. Only.

36:39 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Thank you, Mohammed. This is my question.

36:49 - Yaser Salem Bin Zubaa (ADNOC - GP) So Mohammed, do you need to add anything or we need to hear from another company team here?

36:57 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Okay, go ahead Mohammed. So here one more thing, yes. We are calculating again the monthly supply rate and sorry weekly supply rate and the and the weekly consumption rate. So here we are capturing this one based on the what each and every TO yes definitely there will be different lead time so accordingly we what you call we display this this information here. So as earlier requested yes we are are showing only there are five vertical pages which we are reviewing on a weekly basis. These are the vital chemicals some here biocide oil then corrosion emitters.

37:53 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Then again this information we are sharing with SVP on a weekly weekly basis and we used to we used to work work based on their their any recommendations.

38:09 - Rahul Patel (ADNOC Group D&CS) The procurement cycle it is like is it weekly monthly like the analysis you're doing on weekly basis, but then. The procurement cycle is it when do you communicate to your vendors monthly?

38:25 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Because we we have we are giving the with the supplier with sharing the plan well in advance when we are issuing the when you're issuing the purchase order.

38:34 - Rahul Patel (ADNOC Group D&CS) Yeah but then what frequency you check that okay I had last month I had issued a plan for next six months but then based upon the changes the consumption has increased or my days of days stock on ground has reduced so I need to pull any of my procurement proposal I need more quantities from supplier so what what is frequency of that transaction.

38:57 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) It's at least a weekly weekly once once to twice yes we are communicating because we generally have a testing requirement testing is there for each and every chemical batch so we used to communicate very regularly to monitor this because every every batch need to be sent it to adnoc lab so they will be they will be continuously contacting us for each and every testing and again if there is any forecast changes or something.

39:28 - Rahul Patel (ADNOC Group D&CS) Yeah so testing I understood because you will be receiving continuously so the testing will continue as you as and when you receive badge but from overall supply planning you communicate weekly with the vendor for forecast changes.

39:42 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes that's true.

39:44 - Unidentified Speaker Okay.

39:58 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) One more thing. Yes, I think I forget to add here. I think in the ground stock, whatever we have issued in the last one week, because which will be out from the system. Once we issue from the warehouse, yes, I'm adding it as a ground stock. Which why because we know that this will be in the transit which is not reached to the end user so we consider is it as a ground stock.

40:25 - Rahul Patel (ADNOC Group D&CS) Okay so as one more question when you receive the demand do you do any analysis of the demand that based upon historical consumption whether demand looks okay or not okay?

40:40 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, we do that, yes. And we we have conducted a series of workshop with end user and yes, we are about to receive the revised plan for the next year next year based on the current this year data and the last year data.

41:00 - Mohamad Fakhouri (ADNOC Group D&CS) OK. I just wanna. Come in the Jeep. Thank you so much.

41:11 - Mohamad Fakhouri (ADNOC Group D&CS) showing us the process offshore. Okay. Any other questions from any other audience?

41:21 - Rahul Patel (ADNOC Group D&CS) Najeeb, I have a question. Last one.

41:23 - Aysha Abdulla Al Ali (ADNOC - GP) Yes, please. Yes, please. When you receive the demand forecast from the user, like it's for how long period? Is it for one year demand, six months?

41:31 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Three years. Three years. We always request three years, but or we always advise and we always advise and use it but the current the for the next year plan should be very firm based on the approved budget. Okay and this demand input is received at what frequency like every month you receive for next three years or every quarter you receive like every year like you know a quarter quarter four beginning we are asking because the firm firm budget is approved so based on that we are asking them the the forecast and in between yes if there is any requirement from the management to increase the production or the decrease the production accordingly yes they used to advise us on weekly meeting or monthly meeting yes they used to advise us.

42:19 - Rahul Patel (ADNOC Group D&CS) So you get one time plan for the year once in a year for three years and then you review it every month.

42:26 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes that's true and as I mentioned earlier yes the plan is a dynamic and if there is any changes in the in the plan from the end user. Yes, we used to incorporate those.

42:39 - Hector Palacios OK. I have a question here related to the that information that you are showing here. The minimum storage maximum storage is that information that is available on SAP or is information that you have only on your Excels?

42:55 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) It's only on Excel, but we we have promised end user that you know we will add this information in the SAP and we should keep this as a buffer stock which should be available in the SAP itself for each and every site.

43:13 - Hector Palacios Another question, you were mentioning that you have different SKUs depending on the format. That's the packing. Do you have different packings depending on the supplier?

43:31 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) yes that's one of the one yes some of the supplier yes they used to recommend a recommend but if if we demand if they used to convert the packing according to our requirement example some of them yes they will supply only in IBC but we will we will enforce them to supply in drums example because we have a because you know our material handling is very complicated since it's offshore So according to our requirement, yes, we used to advise them to change it to the packing. Maybe there is a little premium we have to pay for that, but we go with our requirement itself.

44:13 - Hector Palacios All right. And for the same chemical, can you have more than one supplier?

44:18 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, we do have.

44:19 - Hector Palacios And how do you decide how many suppliers?

44:27 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, we for the vital chemicals. We always make sure that we have a backup plan. We have alternative supplies. When we are when we are creating the LTPA, yes, we mentioned that yes, we should go with the 7030 format.

44:44 - Unidentified Speaker OK.

44:49 - 1Ali Mohammed Ahmed (ADNOC Onshore - PD) I just. Yes, I have just two or three questions for Nadeem, if you go back to the first slide.

45:02 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes, here it is the total chemical store. So, but if you have how you will make difference the availability because you have some of the chemical are slow moving some of them are very fast moving.

45:19 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, but we do we can be if this what are showing here is a vital chemical and we have put together everything in together then we have displayed here. Again we can bifurcate this one into individual chemicals.

45:37 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Okay and offshore for production chemical whose contract that means inventory? Yes inventory is the one. Okay and for forecast. You communicate with the user to get from them the forecast, no? Yes, that's true. Just checking because if it is the same in onshore.

46:02 - Mohamad Fakhouri (ADNOC Group D&CS) Yes. Ali Mohammed, would you? You're in onshore, right?

46:11 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yeah, I'm from onshore.

46:13 - Yaser Salem Bin Zubaa (ADNOC - GP) Welcome to onshore and first we need to finalize Mohammed Najeeb here if I have no question then we will hear from the insurer and then to RFI.

46:22 - Mohammed Ashic (ADNOC Onshore - PD) Okay so one question yes one question to Najeeb this demand comes in months or days?

46:31 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) No basically they are providing in as per the UOM only of the system example if it's in a bulk like or IBC or bulk supply or in terms they convert then we convert them into base units.

46:47 - Mohammed Ashic (ADNOC Onshore - PD) Yeah, but you get demand. From the user based on cost, I mean one quarter demand or monthly or quarterly demand. So it's a total quarterly value and then you break down into days. How do you? How do you convert that? How do you? How do you make sure that you know it covers for this much days based on consumption?

47:10 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yeah, based on consumption, yes.

47:16 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) One example you can see that 2014 they want so and so in terms of chemical then we convert it into liters then again we divide into 365 days so we know that for one day how much chemical is required.

47:30 - Mohammed Ashic (ADNOC Onshore - PD) Okay so not historical just for the next one year.

47:38 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) No historical yes we consider when the plan is less than the historical consumption yes we take the higher one that is historical one we consider for safety side.

