FW: Demand Planning - Drilling Materials 
jue, 19 de sep de 2024

0:16 - Khalid Sarfaraz (ADNOC Group D&CS) Assalamu alaikum, Ahmed.
27:52 - Fakhouri, Mohamad Abdul, that was exactly what I was going to, going with the statement. We do have a set of questions to understand exactly your current process. We can start with just an overview of how you're conducting it, who's responsible for the team. Abdul, if you mentioned you have onshore and offshore. And so maybe we can talk about the roles and responsibilities in regards to that.

28:26 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, they're both streamlined, as explained, Hector. So basically, we have drilling plan. This is the high-level plan. And we call it drilling plan or drilling bar chart. This is the initial plan, buy well, buy well. Then it will drill down to the equipment basket. For the individual wells. So, this equipment basket and the combination of the drilling plan, it will convert to allocation plan. So, maybe... So, we can start from, I think, Bogdan or Mahmoud, can you just elaborate?

28:59 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Yeah, you want... Good morning everybody. You are looking for the... What you are doing right now, correct? That's what you... What you are looking for, correct?

29:10 - Unidentified Speaker Okay.

29:15 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Right now, we depend on the first source is the voucher, which will give us the plan for the coming wells. And that will be converted to material, equipment basket. Because each well will require certain type of material and equipment. ... We can get it from the information received from the bar chart. Once we, once we evaluate the bar chart, we ... Convert it to ... Material allocation plan, which is, will reflect the, each well, how many ... Equipment or what the type, what type of equipment and how many, will be ... Allocated to, to this well. And, based on that, we will evaluate for that because as per the KPI we should have one year of worth of equipment in our stock however we have more than that for certain equipment then we will we will see the existing stock will cover us till how many how many months bear commodity we we split it to OCTG DCE which is the completion equipment well equipment, liner hangar and cementing accessories and so on and so on. Then we will evaluate the actual stock on ground and in this case we have two types of stock. We have ad-hoc offshore stock which is we'll get it directly from the SAP and we have the VMI stock based on the based on the type of the VMI contract framework and that's we will get it from the supplier

31:11 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) and this is the first source the second one which is that's the common end I mean the second one which is the project sometimes we receive a requirement one of requirement like new new project it's not yet reflected in the bar chart however it's coming and we need to prepare ourselves for it and that usually communicated to us by a memo from our end user, which is the engineering and drilling and engineering team. And based on that, we will start to secure the requirement even before it's on the bar chart.

31:49 - Fakhouri, Mohamad That's as simple as what we are doing. Mahmoud, I do have a question regarding that. So you said the initial requirement will come from a Gantt chart, right?

32:02 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Drilling bar chart.

32:04 - Fakhouri, Mohamad Drilling bar chart. Do you, is this, is this a tool or do you put it, or you put that chart in a tool?

32:19 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) No, the chart is actually, it's like an Excel sheet. I'll show it with you, one of the bar chart we have.

32:26 - Patel, Rahul Yeah, if you can show us here. That would be great, Mahmoud.

32:31 - Bogdan Andres (ADNOC Offshore - DMET) With Mahmoud, I think they're looking for the, it is a system. So it's a result, it's an export from a system. So that plan is processed in a system.

32:46 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Yeah, but they are looking for the format. Yeah, they are looking for the format. Yeah, I think they want, because you know at the end of the day, they want a source of information to get this data from it.

33:03 - Fakhouri, Mohamad So maybe I can...

33:08 - Bogdan Andres (ADNOC Offshore - DMET) It's either a system or the Excel file that we're going to show it now.

33:14 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) So let me share with you the Excel.

33:17 - Fakhouri, Mohamad Yeah, if I may, I can just rephrase the question. What we're trying understand is that this is mainly from a data perspective, where the data is coming so that we can incorporate it, add this to IPP. So where the requirements are coming from, so that we know which tool is being used currently today, so that we have this integration.

33:48 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Can you see my screen?

33:52 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Yes. Yeah. OK. See, that's like what we then said. The system will generate the final report in Excel format. I don't know if we can get it, if we can connect you direct to our system or not. But however, this one, we can share it with you. I mean, in the future, yeah? And at the end of the day, you see, Yeah, I have a question. Um, initially in the system, what do you put? Like, how does the process start? Um, that that required different team to answer this question. But usually the information will come from the FD and they will. They will put the there based on the field development. They will put the the will require drilling sequence requirement and they will share it with the our drilling operation team. Based on that, they will start putting it on the bar chart. This is the bar chart. I don't know, can you see it? Yes, I can see it on the screen. This is the month and this is the well, well name and the tower. And they will put it in sequence. There is different bar charts, one for the FD which will show each tower, which we don't have access to it, but that's the final one we have access to it. And then you in the front different format also as well as a sort of that or something like that see what's the same will number and power will require target start date in date this information we converted to requirements okay based on completion type and for sure the where is the field and what's the type table for new work over. We have some rules based on that. Based on that, we convert it to a requirement.

35:46 - Fakhouri, Mohamad OK. So maybe just before we continue with this process, if you can tell us who are the key involved in this process. We're just trying to understand which team or what role is responsible for what action.

36:18 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Okay, in regards to the planning, I don't think that will impact you unless you want to connect your tool to their tool. Because at the end of the day you are looking for a for a requirement, correct?

36:32 - Fakhouri, Mohamad Exactly, yeah, we're looking for the requirements, yes.

36:35 - Patel, Rahul So when you say tool, what is that tool?

36:37 - Unidentified Speaker Our system?

36:41 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Correct? We call it DWS?

36:44 - Unidentified Speaker DWS.

36:47 - Mariam Ali Al Saedi (ADNOC Offshore - DP) I think, Mahmoud, this tool or their tools can be linked directly to the DWS system.

36:52 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) I think you are the best.

36:53 - Mariam Ali Al Saedi (ADNOC Offshore - DP) So we can retrieve the The data itself.

36:59 - Patel, Rahul So the DWS system has all the planning information and then it converts into the chart you've shared. Exactly.

37:08 - Unidentified Speaker OK.

37:10 - Fakhouri, Mohamad OK.

37:14 - Fakhouri, Mohamad I'm just uh. Sorry my wood is there. Sorry to cut you off, but yeah, please continue.

37:27 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) No, no, nothing.

37:27 - Fakhouri, Mohamad I'm just, that's the high level. Okay, just another question. So this is the, let's say, initial plan. What happens, how do you manage, let's say, changes?

37:46 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) This is a good question because, you know, every month we there is a changes and depend on the how how is it is it is it they gonna change the design the complete design or just or they will yeah there is a minor change and major changes usually from month to month there will be a minor but sometimes you receive a major changes which will will impact our plan and that the reason you will find us you will find in our stock you have some equipment which is still moving or we are exceeding the timeline which we have to keep in our stock. It's not a straightforward answer, but to keep following the changes we receive from the FD is not easy. And I think also the system will suffer from that because, you know, there is a lead time involved in each of our equipment. And that lead time you cannot play with, you know what I mean? You can expedite it a bit, but you cannot remove it from the equation. So if the changes is complete, like I'll give an example, if they are running now a completion with 4.5 inch tubing, and suddenly they want to change from 4.5 to 5.5, and that's not available in stock, you cannot just change it after a month, you know what I mean? Yes. Yeah, go ahead. Go ahead, Santosh.

39:17 - Sharma, Santosh Hi, Santosh from KPMG team. So in this plan which you are flashing over here, the DBC plan, does it entail information regarding the equipments or the spare parts which are going to be consumed on a month-on-month basis?

39:32 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Or this will be acting as an input for subsequent As I mentioned at the beginning, if you look at each well has a certain information, okay? And from this information, we convert it because we know we convert it to a requirement. Like we know that this is the, let me go to the well type. If it's a new well, we have to start from different, we have to allocate different well equipment and OCTG. And then we look for the for the type of the completion okay and also we look for that for the for the field itself because each field has that will be written here in the completion because each completion has

40:18 - Patel, Rahul its own basket and the completion baskets it has all the required equipment list plus the quantity okay so list of equipment and the quantity you already have this available based upon the activities what you are saying depending upon type

40:39 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) of well type of activity you want to do you have a readymade list of equipments and uh yes available there's two important points here the drilling phase and the completion phase and the drilling phase will has its own equipment and the completion phase also it has its own which is the completion basket which is which will reflect each completion type and the existing equipment for this, sorry, the required equipment for this bus. So there is another table, which I'm not showing it here, will reflect like SWI2, single motor injector, type two, that you can see it, here is it, like this one. See, this is the SWI2, okay? That's the completion requirement. Then there is another table showing what type what's the how many how many joints required, how many accessories, combination accessories required, what's the type of the backer, no that's in different place.

41:45 - Sharma, Santosh And one minor thing, the stages which you are mentioning these are pre-planned well wise or is it vary across the wells? I can see some timeline 2024-2025 and some stages. Is it specific to any well or it's a consolidated plan?

42:09 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) I cannot understand your question.

42:11 - Sharma, Santosh So there are multiple wells. So as you mentioned there are multiple stages like in the beginning drilling will start and SJ something and then at the end when we are closing that activity there is some special different sort of activities needs to be done. So you have broken down the activities which we which you were showing on the previous page. Suffix 123 till 1213 depending upon the different stages. The completion stages column are. Yeah, this one is SOP1, SOP2, SOP3.

42:55 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) stages. This is the completion time. Each well of this, you see, I'll show you. You see this well, Umlulu 112. You need to complete it with SOB 4, okay? You will see this well, Umlulu 0066. You need to complete it with single water ejector 2. It's not a stage. It's not SOB 1, then SOB 2. No, no. Each well, you need to start the spudding, and from and the end to complete the well, depending on the type of this well, if it's work over well or new drilling well, but most of our wells to start and complete in one stage. In some certain cases we split the well, I mean our end user will split the well in two or three phases depending on what's required. Sometimes just you want to, if there is no the tower is not fully completed they will they will get in the first phase then they will wait for the tower to install the topside then they will go again for the weld then at the end they will go for a simulation you know that's this kind of but that's in a certain case however usually they go from beginning to the end to complete the one way understood understood so

44:12 - Sharma, Santosh far when we do all of these activities depending upon the completion stages are the the which you have shown and depending on that automatic or equipment basket selection will happen and subsequent requirement planning will go ahead. Is this understanding correct?

44:30 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) Yes, I think I can if Bogdan want to share the map after that to show you how like for the OCTG how we can reflect this one as a requirement for like for one of the commodity Yeah, yeah, that

44:47 - Patel, Rahul would be great if you can walk us through one example that how you take it from the from the map and then convert it into an equipment level. Can you see it?

45:04 - Fakhouri, Mohamad Yes, yeah, we can see your screen.

45:06 - Bogdan Andres (ADNOC Offshore - DMET) So basically what Mahmoud was showing you was showing you a well. This is the well number. This is the completion one that we're showing single water injector what type of completion and so on and the period of time we are looking at one commodity only there are a number of commodities that go in one way however the planning starts with this is the pipes casing and tubing so we have a number of diameters and we have then consumption so this will will consume this item in two pieces at the start date. So we need to have it available in advance because we need safety stock, but this gives us the consumption. And then all the other items that are being consumed for those in each well. Now how do we take, so this information comes from the DBC, Mahmoud showed it, this entire file we call material allocation plan, map. Onshore can have a different way of managing it, but the information is essentially the same. And then we go item by item in planning it and trying to understand what's going on. So let's take one big one, 1338. So in 1338, you see, look at this chart. These are other suppliers. This is details per supplier, but this is the overall one. You will see that per month going ahead, we're looking into 27 but per month we have consumption here which comes from the map comes straight from the map file so we just update the map and these charts are automatic then we have consumption per month the red the red consumption below we add some additional when we have changes they're not implemented in the drilling bar chart but we know they're coming so we add them manually you see the orange here these are manually added And these are the deliveries that we received from the VMI suppliers. When we put all together, this is the chart and the line is the equivalent stock. So the remaining stock at the end of that month. The gray area is our six month safety stock. We're basically looking at six month consumption ahead. And we're saying we need to be targeting the six months all the time. The lead time of this item is somewhere around eight to 10 months. So if I go ahead, in order today I will receive more material in let's say 10 months. In June operationally will be available in July let's say I need a thousand joints to reach the safety stock no actually I need more 1500 this is how much I need to order today to arrive in July and continue my safety stock safely. This is it.

47:47 - Patel, Rahul Okay so a quick question here when you say safety stock inventory or consumption is Is this available in your S4 HANA SAP or this is completely planned on Excel sheet?

48:00 - Bogdan Andres (ADNOC Offshore - DMET) This is the material that comes from the VMI. The VMI, Abdul, correct me if I'm wrong, is not fully integrated into our SAP.

48:09 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly. Mugdan, his question is, so there's a min-max level in SAP. So actually, all the training material is not driven by min-max level. So this is planned. Say, for example, whatever Mugdan is showing, initial plan. We'll put a longer period. It is like most of the material is coming from the like 18 months to 12 to 18 months delivery delay time. So that's the reason what we do first instance we'll book the material with supplier. Then it is fully happening through the Excel sheet calculation in offshore. And so finally we'll arrive at the material quantity then we'll order in the system.

48:53 - Patel, Rahul Calculation is in excel just to make sure I understand the calculations are through this excel ordering happens to SAP inventory is brought in SAP the consumption also happens in SAP you issue the material SAP.

49:10 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I come into that one this is so this is the first long term plan and we have like short term plan which is so like six month look ahead we will put it for the operation where the material on mostly on ground with either with within offshore or with some VMI supplier. Then what the inducer do, they'll create a reservation in the system. This reservation based on reservation, the material flow from the VMI supplier or from the Arnok offshore warehouse to the rig site.

49:43 - Patel, Rahul Okay. Got it.

49:45 - 1Fakhouri, Mohamad Thanks. Abdul, when you mention long-term plan, what's the duration? Five years?

49:57 - Fakhouri, Mohamad Or the whole project?

49:59 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, it will be the three years. But then we are focusing up to three years, isn't it?

50:05 - Bogdan Andres (ADNOC Offshore - DMET) Yeah. So it depends on the commodity. Wellhead is 16 months. So we have to order for 16 months plus. So we look at as well as OCTG depends. Some alloy OCTG are 14 16 months as well. The others are 10 or below. It really depends on the lead time. However, as a rule, we tend to look ahead at a minimum of two years. Because, of course, we have changes. Every other month we have changes, so we need to be able to adapt.

50:37 - Patel, Rahul So these lead times you mentioned, are these available in SAP, updated against the material, is in Excel sheet only?

50:46 - Bogdan Andres (ADNOC Offshore - DMET) No, these are per contract. Each contract has its own lead time per item. Per contract and per item.

50:52 - Patel, Rahul Per contract, per item. OK.

50:57 - Fakhouri, Mohamad So when you issue the, let's say, create a purchase requisition, the lead time of the material is not added in SAP?

51:11 - Bogdan Andres (ADNOC Offshore - DMET) The delivery is added. That's connected to the lead time.

51:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) OK. It will update in SAP lead time. But while ordering, we will not consider that one because the contractual lead time is already available with supply.

