Demand Planning - Maintenance Downstream / Upstream MRO 
mié, 18 de sep de 2024

0:08 - Nabil Ghalib (ADNOC Group D&CS) I'll try to give you just a brief about your project, okay?
20:56 - Hector Palacios Okay, thank you. First of all, nice to meet you, everyone. Hector Palacios here. One of the IBP consultants, I will be one of the IBP leads, and I will be working directly on the implementation of this tool. So I want to give you a little context of what we are going to do, what is IBP in the first place. So let's start by the name. Stands for Integrated Business Planning. It's an SAP Cloud system that will support you on your supply chain planning. By providing you some advanced algorithms to solve the most challenging problems that you have on demand planning, inventory planning, supply planning. It also helps integration capabilities. That means that we can integrate to source systems because there is a lot of inputs that we need to consider into this planning. This is a big problem that we need to solve. But we can build this bridge of information between your source systems systems, in this case, mostly S4 and other systems that you can have, and bring it into IPV so we can start doing our planning. Also, a very important aspect is that we have a collaborative environment. That means that you can interact with the system by having two environments. One is going to be the Excel to which you can connect using an add-in. You can review the data, you can adjust your plans, and then, of course, you can visualize in nice dashboards as well. The other environment is the web part where you can also do your planning if you like so, and there is where you are going to see the proper dashboards. The main objective of implementing such a tool like IVP for MRO planning is to try to reduce the working capital that is related to At the same time, trying to increase your uptime of your assets and your operations, and of course, the reliability of this operation. We are going to achieve this by having the right parts and also the labor workforce in the right place and in the right time. Just for you may be interested to know that this is a modular tool, that we have different modules for solving different problems. In this case, you already have the three modules that are going to allow you to plan inventory, supply, and demand. If you're having any questions, just please interrupt me. I don't think that I can see if you have your hand raised, so just please interrupt me or let me know. At a high-level architecture, this is how it's going to be. At the right, we have IVP in blue, and here we have the source system that can be used for but it's not limited to S4HANA. As I was saying, we need a lot of information that is going to come from the system. Most of that data is going to be master data, so we need to know what are going to be our planning dimensions, our parts, and all the related hierarchies, our asset equipments that we need to maintain, the maintenance activities, the project activities, and whatever is requiring parts for for solving this problem. Mostly, we are going to connect to system like SAP PM. This is the best practice in system that has your projects information. We are going to get information about the maintenance plans that you're having, the plan for its activities, and we are going to complement with a correct maintenance forecast to try to answer the question of how much parts should I have in the future, to meet the demand that is coming for projects, for preventive maintenance plan, and for corrective activities. This is what the demand planning module is going to do. Then we also have the inventory optimization side, which main objective is to answer the question of how much safety stock should I have across my supply chain network for each part in each location in order to reduce the stock out, to be able to carry out my maintenance activities. It also will provide you the reorder point that will tell you with how much anticipation you will need to order the replenishment so we have it on time. All this information, demand and supply, are going to be targets for our supply algorithm. In the supply planning part, we need to come up with a distribution plan and a procurement plan that is going to be able to Uh-huh. Sorry, was there a question?

25:47 - Khalid Sarfaraz (ADNOC Group D&CS) I think it's a random interruption.

25:50 - Fakhouri, Mohamad Zain has a question.

25:52 - 1Zain Zahoor (ADNOC Gas - IOE) Yeah, I have a question. So this is Zain from Arnok Gas. So for example, this source from S4 HANA where you are getting the information for the demand planning, you are saying that the task is where the what we understand where the material or component is assigned so if anyone who are not using this component assignment in the task itself means in the maintenance plans so what is the way forward for this one number one and number two can you elaborate this one what is this workforce for the demand planning means what does it mean and what is the linkage of the question. Are there any other questions or sources with the demand planning?

26:35 - Hector Palacios I see that these answers are going to be on the next slide. So if you allow me, let me go with the next slide. If we still have the questions we can go for the right. Perfect Thank you very much.

26:48 - Bilal Dabash (ADNOC Gas - IOE) Sorry, uh, Victor. I have another question that, uh, here, for example, that you are connecting with the for the of the ordering materials and spare parts, correct? This is always you have to connect with the EEM or for example, the first time in order to build your business rules and after that you will depends on those rules, for example.

27:22 - Hector Palacios For sharing the information, we can transform the information in the middle if we need so, to get the information as we need it.

28:01 - 1Zain Zahoor (ADNOC Gas - IOE) Good.

28:03 - Hector Palacios Let me proceed because I think that the next slide is the most important one. We are going in a deeper layer. Then it continues to be high layer for sure, but it will give you some more explanation about the different processes, what we are expecting to flow from one side to the other. So on Jello, you will have the main inputs that we are going to have on the on this planning process. It's not limited to this. We are going to require some other inputs as well, but these are the key ones. In demand planning, the first part that we need to understand is that we need to try to understand what are our demand sources. Part of the sources is something that we don't know. It's corrective maintenance that is just happening and we need to react to that. Another part is what we already know, is what we are planning, is our preventive activities, preventive maintenance activities, and our projects, our drilling projects that will generate some power requirements, right? So, for the part that we already know, this is something that we are expecting as an input on IDP. So, we want to get from you the maintenance plan and the networks activities that are related to your projects because then we can translate this in IDP into a part requirement and also a labor requirement. So we will know how much parts we need because of this and how many resources we are going to need because of this as well. We are not going to make the plan here for sure. This is something that for us is an input, but you will gain some visibility because you can use this information in some nice dashboard, some reports that you can use for discussing to understand how much of your parts requirement are coming from projects, how much is coming from preventive, how much is coming from corrective part, and then you can take the proper decisions. This is about the maintenance plan, the network activities, that is what we want to get from you in the system. Now, for the corrective part is where we are going to offer more capabilities here what we want to have is a spare parts consumption history.

31:47 - Hassan El Rezk (ADNOC Offshore - OPUZ) One question, please. Yes, please. From the project, what type of material you get from the project?

31:56 - Hector Palacios What kind of material? Yes. Service parts, MROs.

32:00 - Hassan El Rezk (ADNOC Offshore - OPUZ) So the project is still under development and you're asking for the MRO? Uh-huh. Spare parts of the equipment, okay.

32:08 - Hector Palacios Yeah, it's only MRO. So a bit of material.

32:11 - Hassan El Rezk (ADNOC Offshore - OPUZ) you are requesting the bill of material of the new equipment, you can say.

32:16 - Hector Palacios We will need that information for sure. It's part of the master data requirements because we know the amount of activities that you're having. So, for example, this week you have two activities related to repairing this machine, and we should know what are the materials for that activity so we can explore that into a part requirement.

32:36 - Hassan El Rezk (ADNOC Offshore - OPUZ) This is still new equipment, which equipment you are talking about. This is a new equipment under construction. Okay, so what you will do what you will do for this. So you need the bill of material of the of the new equipment. This is what you need.

32:51 - Hector Palacios Yes, exactly.

32:53 - Hassan El Rezk (ADNOC Offshore - OPUZ) What you will do is bill of material. Just to understand because this is just a bit of material. You have a bump, so you have the bearing, you have the ceiling, you have this parts. So what you do is this one.

33:08 - Hector Palacios So you have the plans, right? So you have the activities. You know how many activities you need to do.

33:15 - Hassan El Rezk (ADNOC Offshore - OPUZ) You don't have a plan for this. This is a new asset. You don't have a plan for it yet.

33:22 - Raghavendra Mithal (ADNOC Refining - HQ) No, no, you're talking of a commissioned equipment, I think. But they are talking of a project which is going to be scheduled.

33:31 - Murugan Kaliaperumal (ADNOC - PE&ICV) Wait, wait, wait.

33:33 - Unidentified Speaker Today's discussion.

33:37 - Khalifa Al Yafei (ADNOC - GP) Just one question, one thing to mention here, okay? Here, they are talking about corrective maintenance and preventive maintenance. Okay, where is the equipment already installed? This is one part. There is a second part, where is the project, where we need to identify the equipment and link it to the spare part, or link the spare part to the equipment. Okay, so this activity, what he's showing here for you, Mr. Hassan, okay, two different activities. One of the installed already items, Okay and the maintenance you have suppose that you have planned for different maintenance and turn around the maintenance or major overall. Okay this is what we are learning for the first part where it's installed already and project phase where you we are identifying new items.

34:24 - Maria Terence (ADNOC Group D&CS) Is that clear?

34:24 - Hassan El Rezk (ADNOC Offshore - OPUZ) Yes it's clear yeah but the point is this new okay it's clear but I don't know what you will do because you don't have this you don't have concern You don't have even a stock level for it is still still under control.

34:42 - Maria Terence (ADNOC Group D&CS) If I may, we will take information that they are OK and they will do our analysis.

34:48 - Khalifa Al Yafei (ADNOC - GP) Then at the end we will come with a proposal how we will link all this together.

34:54 - Mazhar Hussain (ADNOC Group D&CS) Just to clear us and to just clear you one point that in any case we are not using our project system in SAP to prepare for because we do not prepare the network activities. Yes, demand that cannot generate from there because most of the group companies 99.90% they are not using this route. Actually what you're saying, Hassan, that will come SPIR through SPIR while it is maintained and uploaded. It will route through the maintenance. I mean, you know the work order processes and that area because they are including. If you see in the last the master data so that will be So that will be available here also.

35:35 - Hassan El Rezk (ADNOC Offshore - OPUZ) So this will be managed normally normally and whatever we recommend this talk everything the final final will be will be fit to the new system. Would like to impact the practice in any way. Yeah, we're just giving him this for this one and we'll get recommendation. This is the point where we see our system. We have to.

36:00 - Mazhar Hussain (ADNOC Group D&CS) Yeah, but it is a process that they are explaining. It's very useful. Yeah, I have few questions, but I will keep it. I mean in the last through Morgan because many things that we are not doing any good practices like at this point. I mean, the only thing is that I'll be going to improve our business process or not so, but I will point out, you know, different points that where I see you know there are some likeness or some, you know, processes we are not. Doing it actually. Please go ahead and then we will see later.

36:31 - Naamani, Mohamad Yeah, everyone. Sorry, Hector, before we proceed, everyone, just a clarification because we wanted to add this overview to this workshop. As my colleagues mentioned, this workshop is to understand what you do today from a process perspective. We only added a few slides on what ABP looks like so that you know what it does just for you to get an idea. However, we'll have detailed session on how this is done. So Hassan and the team, all the questions, what's applicable, what data we're capturing, so on and so forth. If you bear with us, we have dedicated sessions later on the how. Now we're only giving you a preview of what IBP can do, how it will read the demand, quote unquote, from different areas. Analyze this based on the algorithm and what inventory levels you have so that it can just plans for the supply. So if you can allow us, because we also have the rest of the workshop will be more about what you do today from a process. So we're happy to take those questions, but we might need to park them until we have the design sessions, which will address every point that you mentioned, how to maintain what you're doing while also leveraging the tool. Not trying to limit the questions, but also some of the answers would have to be next just to be just to the purpose of this workshop. Back to you Hector so we can show.

37:57 - 1Zain Zahoor (ADNOC Gas - IOE) I want to add I have a small clarification a small clarification for the demand planning so if you can just little bit give the overview while demand planning explanation that how to deal with the turnaround long-term material planning through this demand planning.

38:17 - Murugan Kaliaperumal (ADNOC - PE&ICV) Let me explain sir there are a lot of topics as I said in the earlier Today we are talking about they are trying to understand how we are doing it on the maintenance part of point of view, right? One question was related to project as Mazhar said this meaning word project doesn't mean EPC project. We have another session to understand how we are handling like topics during EPC project. As the team was explaining how we will respond will come back in a later session. Now in first few sessions, 2-3 sessions will understand as is what is happening. Right, they'll explain, they'll try to understand what is happening now. Currently, Mazhar gave some few hints. Yeah, some of the activities are not done. We will take up from there item by item. Corrective maintenance. What is happening? Preventive maintenance. What is happening? And project here is PS related. They're talking about his maintenance team PS module or not. This is what they're trying to understand from here. Go ahead Sir, go ahead team.

39:24 - Hector Palacios Thank you team for the clarifications. For sure this is going to be a challenging problem because that's why we are having 16 months for doing this, right? It's not something that we are going to solve in some few sessions. The first step for us is to understand what you're doing so we understand the challenges that we are going to find for our project implementation. Otherwise, it's going to happen like this, that we are going to say something that is the best practice and for sure you will have some limitations and you will raise a hand. Let us just continue with this context to how the information is flowing, what we are expecting to need, and then let's jump to the assist part to understand what you're doing to start focusing. Because for the next part, we need to start designing this and we will be able to focus by understanding what are your current problems and limitations. So let me continue with the inventory part. As I was saying, the whole idea of inventory part is trying to generate a safety stock to reduce the stock out probability. It's also trying to give you reorder points and a side of this is also we propose you what is the maximum inventory level that I should have in any point. So this will be feed from information that is coming from demand as well. In this case, what we need to use is an average weekly demand rate. This is what the formula that is using distribution probabilities. This is a statistical problem. It's going to use as a main input, aside of other inputs like service levels, some priorities that maybe we want, the supply chain network modeling that we need to consider the lead times, the load sizes, and many information. And aside of that, of course, you need to consider also what's coming from preemptive plan in the network activities, how much power requirements we are going to have from them, so we can state a correct reorder point, for example. This is going to be the objective of inventory planning. This is the main information that we are going to get from demand planning. After this is that we can start building our procurement plan and distribution plan.

44:44 - Naamani, Mohamad Yeah, I think we need to switch to the, as is with the workshop, for demand for tomorrow. So again everyone, thanks for the patience. This is only an overview of what I BP. So think of it as like the movie trailer coming soon. You'll get to know all the details in the next sessions, but now the team would like to understand a bit more about what you do today. The Aziz of demand planning for tomorrow. More for hurry.

45:13 - Fakhouri, Mohamad Yeah, thanks Pamela.

46:47 - 1Khalid Al Ameen (ADNOC Gas - IOE) Yes, Salam Alaikum.

46:48 - Fakhouri, Mohamad Walaikum Salam.

46:50 - 1Khalid Al Ameen (ADNOC Gas - IOE) Yeah, I have just one question here. What is the adding value with the current practice and all of course, for example, if we are following now the current practice with the demand keeping the minimum requirement, maximum requirement for each item. So what is the additional things that this one can add? And how can I, how I can optimize our cost? This is my question.

47:24 - Fakhouri, Mohamad Are you looking at it on a project level? Like why are we doing, why are we asking for your current practice?

47:33 - Khalid Al Ameen (ADNOC Gas - IOE) Yeah, for the current practice. I say what is the as is, what is the to be different in cost optimization.

47:43 - Fakhouri, Mohamad So very, very good question.

47:51 - Nabil Ghalib (ADNOC Group D&CS) No need to answer now all these questions. Let's put it in teams and then Khaled will understand all of them to save time, Mohamed and Khaled. Please, if you agree.

48:00 - Unidentified Speaker OK.

48:02 - Fakhouri, Mohamad Thank you, Nabil.

48:49 - Fakhouri, Mohamad So we have a high-level process architecture and for today what we want to focus on is the preventative maintenance demand as well as the corrective maintenance demand plan. We'll also ask you some questions on reporting, which will include the consolidation as well of demand.

49:16 - Fakhouri, Mohamad So now what we're going to do is we have a set of questions to understand your process. What we'll do is I'm gonna ask you to If someone can give us an overview of the roles and responsibilities Regarding demand planning we can start with upstream because I know we have multiple streams here today so we can start with upstream and To give us an overview of demand planning and who's responsible and example, how is the collaboration between the maintenance planners and inventory, how is this happening today?

50:11 - Jain, Gunjan (UAE) Maybe group company by group company? One minute, please.

50:17 - Nabil Ghalib (ADNOC Group D&CS) Let us follow the agenda. Khaled Sabra, are you there? Yes, I'm there. Yeah, please introduce Maria, let him go through the approved business process for work order planning and how materials is reserved, shows quick demo and system, and then we can open the discussion further and support from the company's plans. Okay, go ahead.

50:39 - Khalid Sarfaraz (ADNOC Group D&CS) Maria is there in the meeting?

50:41 - Unidentified Speaker Hi, Kalil.

50:41 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah. Hi, hi, Maria. Just introduce yourself and then we can start our discussion and you can showcase the process and system.

50:51 - Maria Terence (ADNOC Group D&CS) Hi everyone, I'm I'm part of I'm part of EM team. I'm handling EM announcements.

51:15 - Maria Terence (ADNOC Group D&CS) So I will be giving a demo.

51:33 - Unidentified Speaker OK.

51:37 - Fakhouri, Mohamad Thank you.

51:39 - Nabil Ghalib (ADNOC Group D&CS) Maria, share your screen, please.

51:47 - Maria Terence (ADNOC Group D&CS) Hey, is my screen visible or I need to expand it?

51:51 - Rohith Ellareddy ADNOC Offshore- OED) Yes, it is.

51:52 - Fakhouri, Mohamad Yes, it is, yeah.

51:55 - Unidentified Speaker OK.

51:56 - Maria Terence (ADNOC Group D&CS) Yes, please make it full screen.

52:01 - Maria Terence (ADNOC Group D&CS) Full screen, OK. Is it OK now?

52:07 - 1Khalid Al Ameen (ADNOC Gas - IOE) Yes, yeah.

52:08 - Maria Terence (ADNOC Group D&CS) Yes, so with respect to Adnog 1 ERP process, we are having the orders created through couple of places like through the notification processing where we initially create a notification and then it will be converted to the order. And there are other cases. Our next case is we have the order directly created and the notification created at the back end that will happen. The third case is we have the preventive where it's like a planned maintenance. So where we we have a scheduled batch jobs will be executed and this will be creating the work orders directly. We don't create your notifications here. We are creating the work orders for the preventive and predictive maintenance. These are three ways we have the work order processing and whenever like whatever when a notification is released and an order will be generated. So the maintenance planner responsibility will review the order for their what is the work like, For example, let's take a corrective maintenance. The planner responsibility will review based on what is the work and who are the involved, how much labor is involved, what kind of Materials is required, so they will be including in the order and this will be passing to the we have a material to check also, but it's it will check like it will allow you to pass through the order and release the order. So once the once the order is released, reservation gets created and the reservation will be sent for approval. So here we have certain two ways of material handling like we will be having a bomb through a structure. We can select the materials or you can be manually inputting based on your material search. You will be able to handle the add the materials in the order. This is on the normal process. When it comes to preventive maintenance, scenarios. Some companies they use a task list where like it might be an equipment based task list or the function location based task list where we will be doing our component assignment in the task list.

54:18 - Maria Terence (ADNOC Group D&CS) Component assignment in the task list and based on that you will be receiving the when the order is scheduled or created, so you will be receiving the materials automatically into the order and then it goes for the These are the two steps. You have any clarification, anything to add up from the group companies if you want to add up or you need. But then I can go to the system and show you how we are doing it.

54:44 - Fakhouri, Mohamad I do have a have a question regarding the task list.

55:21 - Naamani, Mohamad It's for the cycle.

55:23 - Murugan Kaliaperumal (ADNOC - PE&ICV) They're not going wait a minute they're not going to I saw your comments I cannot reply they are not going to do any task list requirement for the business if there is a task list maintenance task list and if there is a below material associated they will try to understand how we can use this data in the planning part materials planning part okay but then how do we define I'm just how do we define that for this set

55:52 - Fakhouri, Mohamad of equipment on a monthly basis, it needs to be refurbished. That's it.

56:02 - Hassan El Rezk (ADNOC Offshore - OPUZ) From the maintenance plan, no, no. The task list is linked to maintenance items. It creates a maintenance plan. Maintenance plan has a time. I know my colleague question. So from this time, you know, when you would say from the maintenance plan, which have dates you will know when to order this material. Okay, so from the maintenance. Yeah, from the maintenance plan. So a task list is nothing, it cannot help you. It helps you when it is attached to a maintenance item and become a maintenance plan.

56:34 - Murugan Kaliaperumal (ADNOC - PE&ICV) Okay, understood. If these are available, they are trying to understand?

56:37 - Hassan El Rezk (ADNOC Offshore - OPUZ) Yeah, of course, if everything is available, of course.

56:41 - Naamani, Mohamad Correct, correct.

56:42 - Hassan El Rezk (ADNOC Offshore - OPUZ) Yes, the quality of the data is the most important success factor here.

56:45 - Murugan Kaliaperumal (ADNOC - PE&ICV) Right, yeah.

56:48 - Hassan El Rezk (ADNOC Offshore - OPUZ) I can summarize.

57:04 - Nabil Ghalib (ADNOC Group D&CS) Maria, also explain that some work orders are created much in advance due to the work complexity and revision is assigned. Just explain also this process.

57:14 - Maria Terence (ADNOC Group D&CS) That's on the turnaround process.

57:21 - Sharma, Santosh So so before moving a moment, I have a small query. Hi, this is Santosh from KPMG. So this planning process, whether it happens by AGC or it is done at centrally from the headquarter, whatever notification comes in and the demand planner sets centrally or at the AGCs and do further processing.

57:45 - Murugan Kaliaperumal (ADNOC - PE&ICV) Specific and it might be even plant specific under AGC.

57:49 - Unidentified Speaker Okay.

57:52 - Sharma, Santosh It is decentralized basically, yes.

57:54 - Unidentified Speaker Understood.

57:55 - Sharma, Santosh Okay, you can proceed.

57:59 - Fakhouri, Mohamad Please, Maria.

58:03 - Maria Terence (ADNOC Group D&CS) There's one more I think that's on the turnaround planning. So we will have a long term like when there is a shared owner plans to become uh it's planned so there will be materials they'll be creating a different order type for that and then the materials will be planned in advance and we'll have a revisions created so that how many orders or all all the orders are tracked based on that revision so in that orders we'll be having the materials components are assigned okay that will have a long-term plan also like because we have maintenance plans have a package scheduled for yearly five years six years It's like it's like once in six years it will be done and you will be creating the order a year advance. So that also it's possible in the planning.

58:47 - Fakhouri, Mohamad OK.

58:50 - Mazhar Hussain (ADNOC Group D&CS) But Mama, that is important to mention here that in companies where we have long you know cycle we are not generating orders in advance. Mostly we are generating one year before, so we need you need to also evaluate that. Enough for your evaluation or if you want to have different requirement then you need to raise your point when it comes.

59:13 - Hassan El Rezk (ADNOC Offshore - OPUZ) Excellent Mazhar, this is my point gentlemen. We are not using the work order to plan the material because work order issued late. We are using the maintenance plan to plan the material. We call it planning material, you call it demand, no problem. So you have a maintenance plan, so you know after one year you will have overall of this It's not work order not yet issued. So using the order here is the blending of the work order which is already issued, which you assume you have the material already, especially for the blend work. You should have the material before even your work order is due. So, but for the corrective, this is why you have a stock. Corrective, you have a stock. So when you have a corrective, if it is long term, it can defer, you will blend it also. But for the blend maintenance, we use a blend. So we have five plan whether it is overall or inspection. From this one we plan the material. Check the material stock and like this. This is the point.

1:00:12 - Murugan Kaliaperumal (ADNOC - PE&ICV) The query came from Mazhar or Maria is about the downstream practice. Both are applicable. Both are there for downstream. Normally for turnaround as he was specifically saying once in 3 years, once in 4 years the complete unit or the train is stopped and they do a maintenance for this purpose. Normally raise work order months before or even 24 months before depending upon the plan or lead time of the product. So, both cases are applicable. So, there is a session I think it was discussed to discuss about the turnaround which comes I think this team was calling it as project plan. So, turnaround is being planned to discuss how we are handling it. It will be discussed part of either today's session or there is another session on Project related topics to be discussed.

1:01:04 - Patel, Rahul So Murugan, this is Rahul from KPMG. So to clarify my understanding, so maintenance plans are for regular maintenance and for the turnaround we don't have plan, but the work orders which are entered in advance advance drive the requirement. Is that correct?

1:01:20 - Murugan Kaliaperumal (ADNOC - PE&ICV) Correct in downstream, yes.

1:01:23 - Patel, Rahul OK.

1:01:27 - Maria Terence (ADNOC Group D&CS) OK.

1:01:36 - Fakhouri, Mohamad Yes, please, yeah.

1:01:51 - Maria Terence (ADNOC Group D&CS) So I'm just choosing your material. So for this equipment you can see there's a bill of materials This is how some of these structures will be having. So we have the bill of material attached to this material to this equipment. So I'm just using this equipment to create a notification. And then we'll go for the planning.

1:02:22 - Maria Terence (ADNOC Group D&CS) So normally when the user creates technician or someone who creates it. He will be creating the notification and a supervisor. There will be a review will happen and the supervisor will approve the notification. There are certain cases we have here scenarios and then once everything is done they will be releasing the notification and saving it. Now the planner he will be converting this notification once it is identified to have some maintenance and some labor. Labor is required for this particular chain. So they will be converting this order notification into an order. OK.

